eta,V,r_star,sd_residual,asd_residual,curvature_norm,is_sd,is_asd,is_nontrivial,is_nontrivial_sd,phase_type
-4.836734693877551,1.2346938775510203,2.7237318544247193,15.402511562214945,15.402511562214945,10.89122037294639,False,False,True,False,II
-4.836734693877551,1.3265306122448979,2.5859767929446154,17.19466878150797,17.19466878150797,12.158466895660915,False,False,True,False,II
-4.836734693877551,1.4183673469387754,2.4482217314645105,19.259862863088284,19.259862863088284,13.618779635212679,False,False,True,False,II
-4.836734693877551,1.5102040816326532,2.3104666699844056,21.659104374819073,21.659104374819073,15.315299577861785,False,False,True,False,II
-4.836734693877551,1.6020408163265307,2.1727116085043012,24.473084816089568,24.473084816089568,17.305084230010465,False,False,True,False,II
-4.836734693877551,1.6938775510204083,2.034956547024197,27.810338413616506,27.810338413616506,19.664878879360963,False,False,True,False,II
-4.836734693877551,1.7857142857142858,1.8972014855440922,31.819696056242716,31.819696056242716,22.499922856664067,False,False,True,False,II
-4.836734693877551,1.8775510204081634,1.7499749539663787,37.04771298973988,37.04771298973988,26.19668908249801,False,False,True,False,II
-4.836734693877551,1.969387755102041,1.5909090847666545,44.20998888898983,44.20998888898983,31.26118293958663,False,False,True,False,II
-4.836734693877551,2.0612244897959187,1.5025391290195915,49.40351543766751,49.40351543766751,34.93356078042898,False,False,True,False,II
-4.836734693877551,2.1530612244897958,1.4495171299988596,53.19716246721017,53.19716246721017,37.6160743204468,False,False,True,False,II
-4.836734693877551,2.2448979591836737,1.4028093794554235,56.94298965955565,56.94298965955565,40.264774129307256,False,False,True,False,II
-4.836734693877551,2.336734693877551,1.3568909099716497,60.980442137160416,60.980442137160416,43.11968415494001,False,False,True,False,II
-4.836734693877551,2.428571428571429,1.310972440487876,65.40444797997124,65.40444797997124,46.24792868640045,False,False,True,False,II
-4.836734693877551,2.5204081632653064,1.265053971004102,70.26830947470206,70.26830947470206,49.68719813207676,False,False,True,False,II
-4.836734693877551,2.612244897959184,1.2191355015203282,75.63545562011952,75.63545562011952,53.48234356712068,False,False,True,False,II
-4.836734693877551,2.7040816326530615,1.1732170320365545,81.58184817513387,81.58184817513387,57.68707806636853,False,False,True,False,II
-4.836734693877551,2.795918367346939,1.1272985625527805,88.19908753382316,88.19908753382316,62.366172889632246,False,False,True,False,II
-4.836734693877551,2.8877551020408165,1.081380093069007,95.59846109898406,95.59846109898406,67.59832011408999,False,False,True,False,II
-4.836734693877551,2.979591836734694,1.035461623585233,103.91627579365962,103.91627579365962,73.4799032893482,False,False,True,False,II
-4.836734693877551,3.0714285714285716,1.007400323933993,109.87334646328442,109.87334646328442,77.69218835584738,False,False,True,False,II
-4.836734693877551,3.163265306122449,0.9844410728063343,115.26281544228567,115.26281544228567,81.50311841789372,False,False,True,False,II
-4.836734693877551,3.2551020408163267,0.9614818216786755,121.00313239994367,121.00313239994367,85.5621354648138,False,False,True,False,II
-4.836734693877551,3.3469387755102042,0.9385225705510167,127.12652627742688,127.12652627742688,89.89202879945837,False,False,True,False,II
-4.836734693877551,3.438775510204082,0.9155633194233579,133.66928169408055,133.66928169408055,94.51845552221921,False,False,True,False,II
-4.836734693877551,3.5306122448979593,0.8926040682956992,140.67236698258546,140.67236698258546,99.47038461894877,False,False,True,False,II
