topology,ny_variant,V,eta,theta,r0,delta_V,stability_type
S3,FULL,2.0,-2.0,3.0,36.00000130529305,613968.20848698,type-II
S3,FULL,2.0,-2.0,4.0,48.000000657791226,1455332.1970969464,type-II
S3,FULL,2.0,-2.0,5.0,59.999998818485786,2842445.830669544,type-II
S3,FULL,2.0,-1.0,0.0,,,type-III
S3,FULL,2.0,-1.0,1.0,9.609772705445932,10311.684853174187,type-I
S3,FULL,2.0,-1.0,2.0,19.810709259232976,99384.833826415,type-I
S3,FULL,2.0,-1.0,3.0,29.87447494221228,346444.5141870443,type-I
S3,FULL,2.0,-1.0,4.0,39.906029789506846,830379.4208328841,type-I
S3,FULL,2.0,-1.0,5.0,49.924887271030364,1630143.5381954573,type-I
S3,FULL,2.0,0.0,0.0,,,type-III
S3,FULL,2.0,0.0,1.0,6.645751650143684,1949.5637009184197,type-I
S3,FULL,2.0,0.0,2.0,15.416199809302128,42939.972186836356,type-I
S3,FULL,2.0,0.0,3.0,23.61895012189734,165003.5444659847,type-I
S3,FULL,2.0,0.0,4.0,31.716233665097903,408577.53041858453,type-I
S3,FULL,2.0,0.0,5.0,39.77372055814077,813868.9759221608,type-I
S3,FULL,2.0,1.0,0.0,,,type-III
S3,FULL,2.0,1.0,1.0,,,type-III
S3,FULL,2.0,1.0,2.0,10.500000435397563,9592.59324688207,type-I
S3,FULL,2.0,1.0,3.0,17.077746725718793,55443.77810895805,type-I
S3,FULL,2.0,1.0,4.0,23.324751983344502,152885.34645904828,type-I
S3,FULL,2.0,1.0,5.0,29.465477753512527,318386.916400934,type-I
S3,FULL,2.0,2.0,0.0,,,type-III
S3,FULL,2.0,2.0,1.0,,,type-III
S3,FULL,2.0,2.0,2.0,,,type-III
S3,FULL,2.0,2.0,3.0,9.464101737234163,4374.4016532425885,type-I
S3,FULL,2.0,2.0,4.0,14.324555473768449,26615.711933025705,type-I
S3,FULL,2.0,2.0,5.0,18.717798299175065,69750.52345071587,type-I
S3,FULL,2.0,3.0,0.0,,,type-III
S3,FULL,2.0,3.0,1.0,,,type-III
S3,FULL,2.0,3.0,2.0,,,type-III
S3,FULL,2.0,3.0,3.0,,,type-III
S3,FULL,2.0,3.0,4.0,,,type-III
S3,FULL,2.0,3.0,5.0,,,type-III
S3,FULL,2.0,4.0,0.0,,,type-III
S3,FULL,2.0,4.0,1.0,,,type-III
S3,FULL,2.0,4.0,2.0,,,type-III
S3,FULL,2.0,4.0,3.0,,,type-III
S3,FULL,2.0,4.0,4.0,,,type-III
S3,FULL,2.0,4.0,5.0,,,type-III
S3,FULL,2.0,5.0,0.0,,,type-III
S3,FULL,2.0,5.0,1.0,,,type-III
S3,FULL,2.0,5.0,2.0,,,type-III
S3,FULL,2.0,5.0,3.0,,,type-III
S3,FULL,2.0,5.0,4.0,,,type-III
S3,FULL,2.0,5.0,5.0,,,type-III
S3,FULL,3.0,-5.0,0.0,1.0000003292768571,116.65878323848335,type-II
S3,FULL,3.0,-5.0,1.0,12.08276176574374,53301.34899051539,type-II
S3,FULL,3.0,-5.0,2.0,24.041594437358942,413577.6099993035,type-II
S3,FULL,3.0,-5.0,3.0,36.0277577123307,1387824.6623521463,type-II
S3,FULL,3.0,-5.0,4.0,48.0208249410413,3283024.855157591,type-II
S3,FULL,3.0,-5.0,5.0,60.01666087183607,6406161.995397481,type-II
S3,FULL,3.0,-4.0,0.0,1.1547006178960786,179.97435440981343,type-II
S3,FULL,3.0,-4.0,1.0,10.790234021765928,38472.9790681574,type-II
S3,FULL,3.0,-4.0,2.0,21.395652536652157,292531.1311333891,type-II
S3,FULL,3.0,-4.0,3.0,32.04161257527963,977803.7248611428,type-II
S3,FULL,3.0,-4.0,4.0,42.69789390059656,2309891.93867045,type-II
